"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","138/4410","441/28396",0.312925170068027,2.01492587964891,9.21054205260618,5.45080712132713e-17,6.85166455150821e-14,4.54998952338149e-14,"Acvr1c/Acvr2a/Adck1/Akt1/Araf/Aurka/Aurkb/Brd4/Camk1g/Camk2g/Camkk1/Ccnd3/Cdc42bpa/Cdc7/Cdk14/Cdk16/Cdk17/Cdk2/Cdk4/Cdk6/Cdk9/Cdkl2/Cdkl3/Chek1/Ciita/Clk2/Clk3/Clk4/Csnk1d/Csnk1g1/Csnk2b/Dapk2/Dyrk4/Eef2k/Eif2ak2/Ern1/Fam20c/Gm10662/Gm6176/Gm6882/Grk5/Hunk/Ikbkb/Irak4/Limk2/Lrrk2/Map2k2/Map3k13/Map3k2/Map3k4/Map3k5/Map3k7/Map3k9/Map4k1/Map4k3/Map4k5/Mapk12/Mapk6/Mapkapk2/Mapkapk3/Mark3/Mast3/Mast4/Mastl/Melk/Mknk1/Mos/Mylk2/Mylk3/Mylk4/Myo3a/Nek1/Nek10/Nek11/Nek8/Nek9/Nim1k/Nrbp1/Nuak2/Pak1/Pak3/Pbk/Pdik1l/Phkg1/Pik3ca/Pik3r4/Pim3/Pink1/Prkaa1/Prkab1/Prkab2/Prkag1/Prkcd/Prkce/Prkcg/Prkch/Prkci/Prkd1/Prkd2/Prkd3/Prkdc/Prkx/Prpf4b/Raf1/Riok1/Riok3/Rock2/Rps6ka1/Rps6ka2/Rps6ka3/Rps6kb1/Rps6kb2/Rps6kc1/Sgk2/Slk/Smok2a/Speg/Srpk2/Stk16/Stk17b/Stk25/Stk36/Stk38/Stk39/Stk4/Stk40/Taf1/Taok2/Taok3/Tesk1/Tlk1/Trp53rkb/Ttbk2/Ttn/Uhmk1/Ulk2/Vrk2/Wnk4",138
"GO:0051020","GO:0051020","GTPase binding","106/4410","337/28396",0.314540059347181,2.02532415537926,8.11897794045991,1.53069127945065e-13,9.62039469134735e-11,6.38862202423351e-11,"Aimp1/Als2/Anxa2/Ap1g1/Arhgap44/Asb14/Atg14/Atg16l1/Bcl2l1/Bin1/Birc5/Cav1/Ccdc186/Cdc42ep1/Cdc42se1/Cdc42se2/Chml/Cib1/Clta/Coro1c/Cyfip1/Daam1/Daam2/Depdc5/Dgki/Diaph1/Dmxl2/Dnm1l/Dock10/Dock5/Dock7/Eno1b/Eps8/Farp1/Fmnl3/Golga5/Grip1/Hace1/Inf2/Ipo11/Ipo7/Ipo8/Ipo9/Iqgap1/Kif16b/Kif3b/Kntc1/Lcp1/Lrrk2/Mfn2/Micall1/Mlph/Mycbp2/Myo1c/Myo5b/Nox1/Nsf/Nup153/Pak1/Pak3/Pex5/Pih1d2/Plce1/Plekhg1/Pou4f1/Prkch/Rab11fip1/Rab11fip3/Rab11fip5/Rab29/Rab3gap1/Rabggtb/Raf1/Ralbp1/Ranbp10/Ranbp17/Ranbp2/Rangap1/Rapgef4/Rapgef6/Rbsn/Rcc2/Ric1/Rilpl2/Rims3/Rin3/Rnf152/Rnf41/Rock2/Rptor/Rragd/Rusc2/Sike1/Srgap1/Stx4a/Sytl4/Sytl5/Tbc1d30/Tmem127/Usp6nl/Wdr44/Xpo5/Xpo6/Xpot/Yipf1/Yipf2",106
"GO:0015631","GO:0015631","tubulin binding","117/4410","392/28396",0.298469387755102,1.92184506455643,7.88047236602595,4.80901657398572e-13,2.01497794450002e-10,1.33808776953357e-10,"Abraxas1/Abraxas2/Akap1/Appl1/Arl3/Arl4c/Bcas3/Birc5/Brca2/Cacybp/Camsap2/Ccdc88a/Cct5/Cep295/Cep350/Cep57/Cetn1/Chp1/Clip1/Clip2/Cryab/Dag1/Dip2b/Dixdc1/Dlgap5/Dnm1l/Dnm2/Drg1/Dst/Dync1i1/Dysf/Eml1/Eml3/Ezr/Fbxw11/Fes/Fez1/Fyn/Gjb6/Haus8/Hook1/Hsph1/Ift74/Katnal1/Katnb1/Katnbl1/Kif11/Kif13a/Kif13b/Kif14/Kif16b/Kif17/Kif1a/Kif1c/Kif21a/Kif21b/Kif22/Kif26b/Kif2a/Kif3b/Kif5c/Kif6/Kif9/Kifc2/Knstrn/Krit1/Lrrk2/Lyn/Map1b/Map1lc3a/Map1lc3b/Map7d3/Mapre3/Mid1/Mlph/Mtcl1/Mx2/Nme1/Pacrg/Pak1/Polb/Ppargc1a/Prnp/Rab11a/Rab11fip5/Racgap1/Ranbp10/Rcc2/Rgs14/Rgs2/Saxo1/Sbds/Sgip1/Sirt2/Ska2/Smc3/Snca/Spc24/Ssna1/Stmn2/Stmn3/Sybu/Tbce/Tbcel/Tiam1/Tmod3/Togaram1/Togaram2/Tppp3/Traf3ip1/Trim36/Ttll5/Tubgcp5/Tubgcp6/Vapb/Vash2/Wipf3",117
"GO:0031267","GO:0031267","small GTPase binding","95/4410","297/28396",0.31986531986532,2.05961351993098,7.87121182541211,9.21572692503651e-13,2.89604218619272e-10,1.92317669777736e-10,"Als2/Anxa2/Ap1g1/Arhgap44/Asb14/Birc5/Cav1/Ccdc186/Cdc42ep1/Cdc42se1/Cdc42se2/Chml/Cib1/Coro1c/Cyfip1/Daam1/Daam2/Depdc5/Dgki/Diaph1/Dmxl2/Dnm1l/Dock10/Dock5/Dock7/Eps8/Farp1/Fmnl3/Golga5/Hace1/Inf2/Ipo11/Ipo7/Ipo8/Ipo9/Iqgap1/Kif16b/Kif3b/Kntc1/Lrrk2/Mfn2/Micall1/Mlph/Mycbp2/Myo1c/Myo5b/Nox1/Nsf/Nup153/Pak1/Pak3/Pex5/Pih1d2/Plce1/Plekhg1/Prkch/Rab11fip1/Rab11fip3/Rab11fip5/Rab29/Rab3gap1/Rabggtb/Raf1/Ralbp1/Ranbp10/Ranbp17/Ranbp2/Rangap1/Rapgef4/Rapgef6/Rbsn/Rcc2/Ric1/Rilpl2/Rims3/Rin3/Rnf152/Rnf41/Rock2/Rptor/Rusc2/Sike1/Srgap1/Stx4a/Sytl4/Sytl5/Tbc1d30/Tmem127/Usp6nl/Wdr44/Xpo5/Xpo6/Xpot/Yipf1/Yipf2",95
"GO:0003779","GO:0003779","actin binding","128/4410","448/28396",0.285714285714286,1.83971493359248,7.68169099327185,1.24673597061961e-12,3.1342942301377e-10,2.08139289410811e-10,"Abi3bp/Abra/Actn1/Actn2/Actr3/Ajuba/Akap5/Ang/Ankrd24/Antxr1/Arpc1b/Arpc2/Baiap2l1/Bin1/Cacnb2/Capza1/Ccdc88a/Cd2ap/Clmn/Cnn1/Cnn2/Coro1a/Coro1c/Coro2b/Ctnna1/Ctnna2/Ctnnal1/Cttn/Cyfip1/Daam1/Daam2/Dag1/Diaph1/Dixdc1/Dmtn/Dst/Dstn/Eef2/Enc1/Eps8/Eps8l1/Eps8l3/Espnl/Ezr/Fermt2/Fhl3/Flii/Flnb/Fmnl3/Fxyd5/Gjb6/Gmfb/Hip1/Homer2/Hook1/Inf2/Ipp/Iqgap1/Klhl3/Kptn/Lasp1/Lcp1/Lrrk2/Map1b/Med28/Mical2/Mlph/Mprip/Msn/Mtss1/Myh10/Myh11/Myh2/Myh3/Myh7/Myh7b/Myl2/Myl4/Myo10/Myo18a/Myo1b/Myo1c/Myo1f/Myo1h/Myo3a/Myo5b/Myo7b/Myoz2/Nos3/Pacrg/Pdlim1/Pdlim2/Pdlim5/Pknox2/Plec/Plekhh2/Prkce/Pstpip2/Ptk2/Rdx/Shroom2/Shroom3/Slc6a4/Smtn/Snca/Sntb2/Spire2/Sptbn2/Syne3/Tagln3/Tln1/Tln2/Tmod1/Tmod3/Tmod4/Tmsb4x/Tnni1/Tns4/Tpm4/Triobp/Trpc6/Ttn/Tulp1/Vash2/Vil1/Vps18/Wipf3/Xirp2",128
"GO:0005543","GO:0005543","phospholipid binding","137/4410","494/28396",0.277327935222672,1.78571520376032,7.55391825464018,2.26553981774033e-12,4.74630591816599e-10,3.15188258854049e-10,"Actn2/Aida/Akt1/Anxa2/Anxa7/Ap2a2/Apoa1/Appl1/Arap2/Arfip1/Arhgap44/Arhgap9/Atp13a2/Atp8b1/Axl/Bad/Bbs5/Bcas3/Bdh1/Bin1/Bin2/Ccdc88a/Cd300lf/Cpne7/Cpne9/Dnm2/Dysf/Fcgr4/Fermt2/Fes/Fgd2/Flii/Gabarapl2/Got2/Gpr12/Gsdma/Gsdmc2/Gsdmc3/Gsdmc4/Gsdme/Hcn1/Hip1/Hspa8/Iqgap1/Itpr2/Kcnh1/Kif16b/Krit1/Laptm4b/Map1b/Map1lc3a/Map1lc3b/Mbl2/Mcf2l/Mfge8/Micall1/Mme/Mreg/Mtm1/Mtss1/Myo10/Myo1b/Myo1c/Ncf1/Nlrp3/Npm1/Nsfl1c/Nup35/Osbpl10/Pacsin1/Pard3/Pclo/Pcyt1b/Phf12/Pigu/Pitpna/Pitpnb/Pitpnm1/Pitpnm2/Pla2g4a/Pld1/Plekha3/Plekhf2/Pon1/Ppt1/Prkci/Racgap1/Rag2/Rapgef6/Rasgrp1/Rps6kc1/Rubcn/Sestd1/Smpd3/Snca/Snx13/Snx14/Snx17/Snx18/Snx19/Snx21/Snx22/Snx24/Snx29/Snx33/Snx7/Stam/Stam2/Syt12/Syt17/Syt2/Syt6/Sytl4/Sytl5/Tecpr1/Tiam1/Ticam2/Timd2/Timd4/Tirap/Tln1/Tom1l1/Tpp1/Tulp1/Tulp3/Unc13a/Unc13b/Uqcc3/Vdac2/Veph1/Vil1/Vps13b/Vps36/Wipi1/Wipi2/Zcchc14/Zfyve1",137
"GO:0016887","GO:0016887","ATP hydrolysis activity","95/4410","314/28396",0.302547770700637,1.94810578159077,7.24384114864821,3.17311429856792e-11,5.69800667614269e-09,3.78387915603664e-09,"Abca3/Abca4/Abca6/Abcb10/Abcb11/Abcb1b/Abcb5/Abcb7/Abcc1/Abcc3/Abcd3/Abcd4/Abcf1/Abcg1/Abcg5/Abcg8/Afg1l/Afg3l2/Ascc3/Atad3a/Atp11c/Atp13a2/Atp13a3/Atp1a2/Atp2a3/Atp2b2/Atp2b4/Atp7b/Atp8b1/Atp9b/Carns1/Cct3/Cct5/Cct6a/Cct6b/Cct7/Cdc6/Cftr/Chd3/Chd4/Ddx25/Dhx34/Dnah2/Dnah5/Dnah8/Dync1h1/Fignl1/Gpn1/Hspa5/Hspa8/Hspa9/Katnal1/Kif13a/Kif13b/Kif14/Kif16b/Kif17/Kif1a/Kif1c/Kif21a/Kif21b/Kif22/Kif2a/Kif3b/Kif5c/Kif6/Kif9/Kifc2/Mlh1/Morc3/Myh3/Myh7/Myo5b/Nlrp1a/Nlrp3/Nsf/Ola1/Orc1/Orc4/Psmc1/Psmc4/Psmc5/Rad17/Rfc4/Slfn9/Smc3/Smc5/Smc6/Smchd1/Tcp1/Tor3a/Trap1/Twnk/Vps4b/Xrcc5",95
"GO:0051015","GO:0051015","actin filament binding","73/4410","219/28396",0.333333333333333,2.14633408919123,7.30209040410154,4.5146955707848e-11,7.09371541559561e-09,4.7107284047794e-09,"Abi3bp/Actn1/Actn2/Actr3/Ajuba/Antxr1/Arpc1b/Arpc2/Bin1/Cacnb2/Capza1/Cd2ap/Clmn/Cnn1/Cnn2/Coro1a/Coro1c/Coro2b/Ctnna1/Ctnna2/Ctnnal1/Cttn/Dmtn/Dstn/Eef2/Eps8l1/Espnl/Ezr/Fermt2/Flii/Flnb/Fmnl3/Gjb6/Hip1/Iqgap1/Kptn/Lasp1/Lcp1/Mprip/Mtss1/Myh10/Myh11/Myh2/Myh3/Myh7/Myh7b/Myl4/Myo10/Myo18a/Myo1b/Myo1c/Myo1f/Myo1h/Myo3a/Myo5b/Myo7b/Pknox2/Plec/Pstpip2/Shroom2/Shroom3/Slc6a4/Sptbn2/Syne3/Tagln3/Tln1/Tln2/Tpm4/Triobp/Ttn/Tulp1/Vil1/Xirp2",73
"GO:0016755","GO:0016755","aminoacyltransferase activity","129/4410","476/28396",0.271008403361345,1.74502372377522,7.02873529880602,5.375424207833e-11,7.50767581027342e-09,4.98562736469189e-09,"Anapc11/Arel1/Arih1/Arih2/Atg10/Birc3/Birc5/Brca1/Cdc34/Cdc42/Chfr/Cul3/Ddb2/Dtx2/Dtx4/Epb42/Ercc8/F13a1/Fbxl14/Fbxl22/Fbxl3/Fbxo2/Fbxo4/Fbxo40/Fbxo44/Fbxw11/Ggt7/Gid4/Hace1/Hdac4/Hecw1/Herc2/Herc3/Herc6/Kcmf1/Kctd10/Klhl42/Lnx1/Lonrf1/Med21/Mgrn1/Mkrn2/Mycbp2/Nedd4l/Neurl4/Nfx1/Nt5c2/Peli2/Pias1/Pias2/Pias3/Pias4/Ppil2/Qpctl/Ranbp2/Rbck1/Rchy1/Rlim/Rnf11/Rnf111/Rnf121/Rnf125/Rnf128/Rnf130/Rnf135/Rnf144a/Rnf146/Rnf152/Rnf167/Rnf170/Rnf180/Rnf181/Rnf187/Rnf214/Rnf217/Rnf26/Rnf41/Rnf6/Rnf8/Shprh/Siah3/Smurf1/Stub1/Sumo2/Taf1/Tgm4/Tgm5/Tnfaip3/Traf6/Trim12a/Trim12c/Trim17/Trim28/Trim3/Trim33/Trim36/Trim37/Trim41/Trim44/Trim45/Trim59/Trim62/Trim65/Triml1/Ube2d1/Ube2d3/Ube2e1/Ube2f/Ube2i/Ube2j2/Ube2l3/Ube2q1/Ube2s/Ube2t/Ube2z/Ube3c/Ube4b/Ubr1/Ubr3/Ubr4/Ufc1/Uhrf1/Vps11/Vps18/Wdsub1/Wwp1/Xiap/Zfp91/Znrf2",129
"GO:0008017","GO:0008017","microtubule binding","85/4410","274/28396",0.31021897810219,1.9975007034444,7.11421042500078,8.33286564545636e-11,1.04744121163386e-08,6.95574995457568e-09,"Abraxas1/Abraxas2/Akap1/Arl3/Birc5/Camsap2/Ccdc88a/Cep295/Cep350/Cep57/Cetn1/Chp1/Clip1/Clip2/Cryab/Dlgap5/Dnm1l/Dnm2/Drg1/Dst/Dync1i1/Dysf/Eml1/Eml3/Ezr/Fbxw11/Fes/Gjb6/Haus8/Hook1/Katnal1/Katnb1/Katnbl1/Kif11/Kif13a/Kif13b/Kif14/Kif16b/Kif17/Kif1a/Kif1c/Kif21a/Kif21b/Kif22/Kif26b/Kif2a/Kif3b/Kif5c/Kif6/Kif9/Kifc2/Knstrn/Krit1/Map1b/Map1lc3a/Map1lc3b/Map7d3/Mapre3/Mid1/Mlph/Mtcl1/Mx2/Polb/Prnp/Rab11a/Racgap1/Rcc2/Rgs14/Saxo1/Sbds/Sgip1/Ska2/Snca/Spc24/Ssna1/Sybu/Tiam1/Tmod3/Togaram1/Togaram2/Traf3ip1/Tubgcp5/Tubgcp6/Vapb/Vash2",85
