"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu00130","Metabolism","Metabolism of cofactors and vitamins","mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis - Mus musculus (house mouse)","2/38","12/9574",0.166666666666667,41.9912280701754,8.96891461691522,0.000987407911843655,0.060231882622463,0.0550869677133829,"Nqo1/Vkorc1l1",2
"mmu04710","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","2/38","34/9574",0.0588235294117647,14.8204334365325,5.09588526658091,0.007944140628808,0.218781465787902,0.200093488986347,"Clock/Rorb",2
"mmu03013","Genetic Information Processing","Translation","mmu03013","Nucleocytoplasmic transport - Mus musculus (house mouse)","3/38","118/9574",0.0254237288135593,6.40544157002676,3.72950467312982,0.0112508367032325,0.218781465787902,0.200093488986347,"Eif4a3/Nmd3/Nup160",3
"mmu05017","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","3/38","141/9574",0.0212765957446809,5.36058230683091,3.29277331837194,0.0181122213620758,0.218781465787902,0.200093488986347,"Atxn3/Fgf14/Trpc3",3
"mmu03040","Genetic Information Processing","Transcription","mmu03040","Spliceosome - Mus musculus (house mouse)","4/38","265/9574",0.0150943396226415,3.80297914597815,2.92094913991604,0.0202432484948519,0.218781465787902,0.200093488986347,"Eif4a3/Prpf38b/Syf2/U2af1",4
"mmu04144","Cellular Processes","Transport and catabolism","mmu04144","Endocytosis - Mus musculus (house mouse)","4/38","270/9574",0.0148148148148148,3.73255360623782,2.87507003507643,0.0215194884381543,0.218781465787902,0.200093488986347,"Arf6/Arpc1a/Cav2/Rufy1",4
"mmu04148","Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","3/38","163/9574",0.0184049079754601,4.63706813044882,2.95637865828018,0.0264447077465935,0.230446738934601,0.21076233241646,"Atp8a2/Ptger4/Ptpn6",3
"mmu05100","Human Diseases","Infectious disease: bacterial","mmu05100","Bacterial invasion of epithelial cells - Mus musculus (house mouse)","2/38","77/9574",0.025974025974026,6.54408749145591,3.08329391219177,0.037246135767893,0.284001785230184,0.259742788907675,"Arpc1a/Cav2",2
"mmu04666","Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis - Mus musculus (house mouse)","2/38","94/9574",0.0212765957446809,5.36058230683091,2.68186525002433,0.0533621023197777,0.361676471278493,0.330782622567043,"Arf6/Arpc1a",2
"mmu03015","Genetic Information Processing","Translation","mmu03015","mRNA surveillance pathway - Mus musculus (house mouse)","2/38","104/9574",0.0192307692307692,4.84514170040486,2.48878130421183,0.0638045402585599,0.389207695577215,0.355962171968808,"Eif4a3/Pcf11",2
"mmu00532","Metabolism","Glycan biosynthesis and metabolism","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Mus musculus (house mouse)","1/38","21/9574",0.0476190476190476,11.9974937343358,3.18468284359185,0.0802046921974302,0.436140823837929,0.398886344493705,"B3gat3",1
"mmu00534","Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse)","1/38","24/9574",0.0416666666666667,10.4978070175439,2.94076270983785,0.0911385359647018,0.436140823837929,0.398886344493705,"B3gat3",1
"mmu04915","Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","2/38","134/9574",0.0149253731343284,3.76040848389631,2.03129248644147,0.0986704154893302,0.436140823837929,0.398886344493705,"Ebag9/Krt10",2
"mmu05135","Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection - Mus musculus (house mouse)","2/38","136/9574",0.0147058823529412,3.70510835913313,2.0056116362684,0.101156975505701,0.436140823837929,0.398886344493705,"Arf6/Arpc1a",2
