"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04140","Cellular Processes","Transport and catabolism","mmu04140","Autophagy - animal - Mus musculus (house mouse)","61/1875","167/9574",0.365269461077844,1.86511457085828,5.56562313997387,1.97905553789147e-07,6.78816049496773e-05,4.56224381892875e-05,"Akt1/Atg10/Atg14/Atg16l1/Atg4d/Bad/Bcl2/Bcl2l1/Cflar/Ctsb/Dapk2/Eif2s1/Ern1/Gabarapl2/Gm5928/Gorasp1/Hif1a/Igf1r/Kras/Lamp1/Map1lc3a/Map1lc3b/Map2k2/Map3k7/Mras/Mtmr14/Optn/Pik3ca/Pik3cd/Pik3r1/Pik3r4/Ppp2ca/Prap1/Prkaa1/Prkcd/Rab33b/Rab7b/Raf1/Rb1cc1/Rheb/Rps6kb1/Rps6kb2/Rptor/Rragd/Rubcn/Smcr8/Snap29/Sqstm1/Stx17/Supt20/Tax1bp1/Traf6/Uba52/Ubb/Ulk2/Vps11/Vps18/Vps33a/Wipi1/Wipi2/Zfyve1",61
"mmu05017","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia - Mus musculus (house mouse)","53/1875","141/9574",0.375886524822695,1.91932671394799,5.42702753284056,4.37520514209279e-07,7.50347681868913e-05,5.04299961114905e-05,"Afg3l2/Akt1/Atg14/Atp2a3/Atxn1/Atxn10/Cycs/Cyct/Ern1/Gria2/Gria3/Grin1/Grin2b/Gtf2b/Itpr2/Map3k5/Mcu/Nfya/Oma1/Pik3ca/Pik3cd/Pik3r1/Pik3r4/Plcb3/Plcb4/Prkcg/Psma1/Psma3/Psma4/Psma6/Psma7/Psma8/Psmb4/Psmb6/Psmb7/Psmc1/Psmc4/Psmc5/Psmd7/Psmd9/Pum2/Rb1cc1/Slc25a31/Slc25a5/Sp1/Sptbn2/Tbpl1/Twnk/Ulk2/Vdac2/Vdac3/Wipi1/Wipi2",53
"mmu04120","Genetic Information Processing","Folding, sorting and degradation","mmu04120","Ubiquitin mediated proteolysis - Mus musculus (house mouse)","55/1875","154/9574",0.357142857142857,1.82361904761905,5.08474053499065,1.77051686932273e-06,0.000193553183533829,0.000130084846383025,"Anapc11/Anapc13/Anapc15/Anapc16/Anapc5/Birc3/Brca1/Cdc34/Cul3/Ddb2/Ercc8/Fbxo2/Fbxo4/Fbxw11/Gm10015/Gm10145/Gm11954/Gm5928/Herc2/Herc3/Mgrn1/Mid1/Nedd4l/Pias1/Pias2/Pias3/Pias4/Ppil2/Rchy1/Sae1/Skp2/Smurf1/Stub1/Traf6/Trim37/Uba1/Uba1y/Uba3/Uba52/Ubb/Ube2d1/Ube2d3/Ube2e1/Ube2f/Ube2i/Ube2j2/Ube2l3/Ube2q1/Ube2s/Ube2z/Ube3c/Ube4b/Vhl/Wwp1/Xiap",55
"mmu05022","Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","135/1875","481/9574",0.280665280665281,1.43311434511435,4.80982213306498,2.57236337867318e-06,0.000193553183533829,0.000130084846383025,"Actr1a/Als2/App/Araf/Atg14/Atp2a3/Atxn1/Bad/Bcl2/Bcl2l1/Bid/Cacna1c/Calm3/Camk2g/Capn2/Casp12/Casp9/Chmp2b/Chrm1/Cox4i1/Cox5a/Cox6b1/Cox6c/Cox7a2/Cox7b/Csf1/Csnk2b/Cycs/Cyct/Daxx/Dctn2/Dctn6/Dkk1/Dnah14/Dnah17/Dnah2/Dnah5/Dnah7a/Dnah7b/Dnah8/Dnal4/Eif2s1/Ern1/Fadd/Frat1/Gm10015/Gm10145/Gm11954/Gm5928/Gria2/Gria3/Grin1/Grin2b/Hip1/Hspa5/Il6/Itpr2/Kif5c/Klc2/Kras/Lrrk2/Map1lc3a/Map1lc3b/Map2k2/Map3k5/Mapk12/Mcu/Mfn1/Mfn2/Ndufa8/Ndufab1/Ndufb10/Ndufb6/Ndufb9/Ndufs2/Ndufs4/Ndufv2/Ndufv3/Nox1/Optn/Pik3r4/Pink1/Plcb3/Plcb4/Ppid/Prkcg/Prnp/Prph/Psma1/Psma3/Psma4/Psma6/Psma7/Psma8/Psmb4/Psmb6/Psmb7/Psmc1/Psmc4/Psmc5/Psmd7/Psmd9/Raf1/Rb1cc1/Rela/Slc25a31/Slc25a5/Slc6a3/Smcr8/Snca/Sptbn2/Sqstm1/Tomm40l/Trap1/Tuba4a/Tuba8/Tubb3/Tubb4a/Uba1/Uba1y/Uba52/Ubb/Ube2j2/Ube2l3/Uchl1/Ulk2/Uqcrc1/Uqcrfs1/Vapb/Vdac2/Vdac3/Wipi1/Wipi2/Wnt3/Zfyve1",135
"mmu04814","Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","66/1875","198/9574",0.333333333333333,1.70204444444444,4.92601702424089,2.82147497862725e-06,0.000193553183533829,0.000130084846383025,"Actc1/Actg1/Actr1a/Capza1/Dctn2/Dctn6/Dnah14/Dnah17/Dnah2/Dnah5/Dnah7a/Dnah7b/Dnah8/Dnal4/Dync1h1/Dync1i1/Dynll1/Dynll2/Dynlrb1/Kif11/Kif13a/Kif13b/Kif14/Kif16b/Kif17/Kif1a/Kif1c/Kif21a/Kif21b/Kif22/Kif26b/Kif2a/Kif3b/Kif5c/Kif6/Kif9/Kifap3/Kifc2/Klc2/Myh10/Myh11/Myh2/Myh3/Myh7/Myh7b/Myl12a/Myl2/Myl4/Myl6b/Myl9/Myo10/Myo18a/Myo1b/Myo1c/Myo1f/Myo1h/Myo3a/Myo5b/Myo7b/Tnni1/Tpm4/Tuba4a/Tuba8/Tubb3/Tubb4a/Tubd1",66
"mmu04510","Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion - Mus musculus (house mouse)","66/1875","202/9574",0.326732673267327,1.66834059405941,4.73767091538481,6.06705041198603e-06,0.000346833048551868,0.000233102463197358,"Actg1/Actn1/Akt1/Bad/Bcar1/Bcl2/Birc3/Capn2/Cav1/Ccnd3/Cdc42/Col2a1/Col4a1/Col4a4/Col6a2/Col6a3/Col6a4/Col9a1/Col9a3/Crk/Diaph1/Elk1/Emp1/Flnb/Fyn/Igf1r/Itga1/Itga11/Itgb5/Kdr/Lama1/Lamb3/Lamc1/Lamc2/Lamc3/Met/Myl12a/Myl2/Myl9/Mylk2/Mylk3/Mylk4/Pak1/Pak3/Pdgfra/Pik3ca/Pik3cd/Pik3r1/Pip5k1a/Pip5k1c/Ppp1ca/Ppp1r12b/Ppp1r12c/Prkcg/Ptk2/Raf1/Rapgef1/Rock2/Shc1/Sos1/Tln1/Tln2/Tnr/Vav3/Vtn/Xiap",66
"mmu05132","Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection - Mus musculus (house mouse)","78/1875","252/9574",0.30952380952381,1.58046984126984,4.60821663507423,8.88205273514447e-06,0.000387215263485486,0.000260242880783555,"Abi1/Actg1/Actr1a/Actr3/Akt1/Anxa2/Arf1/Arpc1b/Arpc2/Bcl2/Birc3/Casp4/Cdc42/Cycs/Cyct/Cyfip1/Cyth1/Dctn2/Dctn6/Dnm2/Dync1h1/Dync1i1/Dynll1/Dynll2/Dynlrb1/Elmo2/Exoc4/Fadd/Fbxo22/Fyco1/Gcc2/Gm5637/Ikbkb/Ikbkg/Il6/Irak4/Kif5c/Klc2/Kpna3/Kpna4/Map2k2/Map3k7/Mapk12/Mlkl/Myl12a/Myl2/Myl9/Naip2/Nckap1l/Nlrp3/Pak1/Pak3/Pik3ca/Pik3cd/Plekhm2/Rab7b/Rab9/Rab9b/Raf1/Rela/Rhob/Rhog/Rhoh/Rock2/S100a10/Snx18/Snx33/Tab2/Tab3/Tirap/Traf6/Tuba4a/Tuba8/Tubb3/Tubb4a/Vps11/Vps18/Vps33a",78
"mmu01524","Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance - Mus musculus (house mouse)","33/1875","81/9574",0.407407407407407,2.08027654320988,4.8181822208102,9.03125978974894e-06,0.000387215263485486,0.000260242880783555,"Abcc2/Akt1/Atp7b/Bad/Bcl2/Bcl2l1/Bid/Birc3/Birc5/Brca1/Casp9/Cdkn1a/Cycs/Cyct/Fadd/Gsta3/Gsto2/Gstt2/Gstt3/Gstt4/Map3k5/Mgst2/Mgst3/Mlh1/Msh3/Pik3ca/Pik3cd/Pik3r1/Polh/Top2a/Trp53/Xiap/Xpa",33
"mmu05212","Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer - Mus musculus (house mouse)","31/1875","76/9574",0.407894736842105,2.0827649122807,4.67662334126741,1.62812116224727e-05,0.000558445558650812,0.000375324773191738,"Akt1/Araf/Bad/Bcl2l1/Brca2/Casp9/Cdc42/Cdk4/Cdk6/Cdkn1a/Ddb2/E2f3/Gadd45g/Ikbkb/Ikbkg/Jak1/Kras/Pik3ca/Pik3cd/Pik3r1/Pld1/Polk/Raf1/Ralbp1/Rela/Rps6kb1/Rps6kb2/Smad3/Stat3/Tgfb2/Trp53",31
"mmu05220","Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia - Mus musculus (house mouse)","31/1875","76/9574",0.407894736842105,2.0827649122807,4.67662334126741,1.62812116224727e-05,0.000558445558650812,0.000375324773191738,"Akt1/Araf/Bad/Bcl2l1/Cdk4/Cdk6/Cdkn1a/Cdkn1b/Crk/Ctbp1/Ddb2/E2f3/Gadd45g/Ikbkb/Ikbkg/Kras/Map2k2/Mecom/Pik3ca/Pik3cd/Pik3r1/Polk/Ptpn11/Raf1/Rela/Shc1/Smad3/Sos1/Stat5a/Tgfb2/Trp53",31
