GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Cav2,484,972,-1.005949266,-0.948620687,0,0,0,TRUE
Cox5a,2844,3,9.888743249,9.946071828,0,0,0,TRUE
Pih1d2,388,3,7.014950341,7.07227892,0,0,0,TRUE
Ccnd2,341,5110,-3.905479647,-3.848151068,0,0,0,TRUE
Gpr107,124,2025,-4.029509882,-3.972181303,0,0,0,TRUE
Nalcn,1037,459,1.175849835,1.233178414,0,0,0,TRUE
Ckmt1,182,8245,-5.501509138,-5.444180559,0,0,0,TRUE
Galnt1,16,116,-2.857980995,-2.800652416,0,0,0,TRUE
Mkrn2,841,56,3.908607068,3.965935647,0,0,0,TRUE
Raf1,1313,377,1.800230488,1.857559067,0,0,0,TRUE
Gabra2,1250,6237,-2.318924164,-2.261595585,0,0,0,TRUE
Atp5f1,5,108,-4.432959407,-4.375630828,0,0,0,TRUE
Sox9,1255,146,3.10364709,3.160975669,0,0,0,TRUE
C1d,995,241,2.045663379,2.102991958,0,0,0,TRUE
Gm2a,2098,239,3.133932155,3.191260734,0,0,0,TRUE
Krit1,1213,353,1.780839462,1.838168041,0,0,0,TRUE
Abhd15,1528,3881,-1.34478389,-1.287455311,0,0,0,TRUE
Spg7,3,149,-5.63420602,-5.576877441,0,0,0,TRUE
Oprm1,67,479,-2.837792655,-2.780464076,0,0,0,TRUE
Tcf7,130,3,5.437405312,5.494733891,0,0,0,TRUE
Ddx3x,3744,2738,0.451457988,0.508786567,0,0,0,TRUE
Usp32,548,3507,-2.677989632,-2.620661053,0,0,0,TRUE
Fmr1,470,93,2.337358135,2.394686714,0,0,0,TRUE
Il4,1254,3,8.707359132,8.764687711,0,0,0,TRUE
Nsun5,85,3,4.824428435,4.881757014,0,0,0,TRUE
Ilf2,392,780,-0.99262047,-0.935291891,0,0,0,TRUE
Chtop,1251,2285,-0.869112376,-0.811783797,0,0,0,TRUE
Snapin,115,558,-2.278631261,-2.221302682,0,0,0,TRUE
Ift20,469,77,2.606657572,2.663986151,0,0,0,TRUE
Cnnm3,325,3026,-3.218900364,-3.161571785,0,0,0,TRUE
Pcnt,479,3,7.318919345,7.376247924,0,0,0,TRUE
Mxd1,65,3,4.437405312,4.494733891,0,0,0,TRUE
Ocrl,7,549,-6.293307417,-6.235978838,0,0,0,TRUE
Calm1,65,441,-2.762267033,-2.704938454,0,0,0,TRUE
Sema6b,199,3,6.05166212,6.108990699,0,0,0,TRUE
Uhrf1,488,56,3.123382416,3.180710994,0,0,0,TRUE
Gabrg1,102,3,5.087462841,5.14479142,0,0,0,TRUE
Fndc5,1377,131,3.393889843,3.451218422,0,0,0,TRUE
Zmat2,186,577,-1.633268698,-1.575940119,0,0,0,TRUE
Cct3,190,3,5.984893108,6.042221687,0,0,0,TRUE
Snd1,214,655,-1.61388411,-1.556555531,0,0,0,TRUE
Kpnb1,1164,6068,-2.382130027,-2.324801448,0,0,0,TRUE
Npepps,121,12,3.333900737,3.391229316,0,0,0,TRUE
Def8,24,555,-4.531381461,-4.474052882,0,0,0,TRUE
Pax9,10,193,-4.270528942,-4.213200363,0,0,0,TRUE
Nrip2,3,135,-5.491853096,-5.434524517,0,0,0,TRUE
Tulp3,348,3,6.857980995,6.915309574,0,0,0,TRUE
Gtf2h4,122,448,-1.876617584,-1.819289006,0,0,0,TRUE
Tubb5,347,2710,-2.965285284,-2.907956705,0,0,0,TRUE
Ell2,1291,41,4.976721281,5.03404986,0,0,0,TRUE
Ergic1,69,3,4.523561956,4.580890535,0,0,0,TRUE
Ddt,64,3,4.415037499,4.472366078,0,0,0,TRUE
Ubl3,78,3,4.700439718,4.757768297,0,0,0,TRUE
Il16,751,19,5.304741584,5.362070163,0,0,0,TRUE
Rin2,1115,29,5.264847,5.322175579,0,0,0,TRUE
