GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
0610010F05Rik,9,61,-2.760812336,-2.818140915,1.59E-11,1.39E-10,1.39E-10,TRUE,2,60,2,2,8,2,Down
0610031O16Rik,3,202,-6.073248982,-6.130577561,0,0,0,TRUE,2,2,2,201,2,2,Down
0610037L13Rik,3,65,-4.437405312,-4.494733891,0,0,0,TRUE,2,64,2,2,2,2,Down
0610040B10Rik,3,29,-3.273018494,-3.330347073,4.44E-07,3.21E-06,3.20E-06,TRUE,2,28,2,2,2,2,Down
1110002L01Rik,3,62,-4.36923381,-4.426562389,1.11E-16,1.14E-15,1.13E-15,TRUE,2,61,2,2,2,2,Down
1110002O04Rik,3,141,-5.554588852,-5.611917431,0,0,0,TRUE,2,2,2,2,2,140,Down
1110008F13Rik,3,72,-4.584962501,-4.64229108,0,0,0,TRUE,2,2,2,71,2,2,Down
1110015O18Rik,6,30,-2.321928095,-2.379256674,1.76E-05,0.000115631,0.000115624,TRUE,2,29,5,2,2,2,Down
1110017D15Rik,3,433,-7.173260714,-7.230589293,0,0,0,TRUE,2,432,2,2,2,2,Down
1110065P20Rik,7,63,-3.169925001,-3.22725358,2.24E-13,2.09E-12,2.09E-12,TRUE,2,56,6,2,2,8,Down
1300017J02Rik,3,35,-3.544320516,-3.601649095,9.33E-09,7.36E-08,7.34E-08,TRUE,2,2,2,34,2,2,Down
1500012K07Rik,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
1600012H06Rik,3,649,-7.757112167,-7.814440746,0,0,0,TRUE,2,648,2,2,2,2,Down
1700001G01Rik,62,960,-3.952694285,-4.010022864,0,0,0,TRUE,56,321,6,2,3,640,Down
1700006J14Rik,3,22,-2.874469118,-2.931797697,3.59E-05,0.000229681,0.000228878,TRUE,2,21,2,2,2,2,Down
1700016D06Rik,3,96,-5,-5.057328579,0,0,0,TRUE,2,95,2,2,2,2,Down
1700016H03Rik,3,349,-6.862120725,-6.919449304,0,0,0,TRUE,2,2,2,2,2,348,Down
1700016H13Rik,3,98,-5.029747343,-5.087075922,0,0,0,TRUE,2,97,2,2,2,2,Down
1700018A04Rik,3,423,-7.139551352,-7.196879931,0,0,0,TRUE,2,418,2,2,2,6,Down
1700019D03Rik,3,59,-4.297680549,-4.355009128,1.11E-15,1.11E-14,1.10E-14,TRUE,2,58,2,2,2,2,Down
1700020I14Rik,70,460,-2.716207034,-2.773535613,0,0,0,TRUE,69,455,2,2,2,6,Down
1700021F05Rik,100,722,-2.851998837,-2.909327416,0,0,0,TRUE,2,721,99,2,2,2,Down
1700025K04Rik,3,31,-3.36923381,-3.426562389,1.23E-07,9.21E-07,9.18E-07,TRUE,2,30,2,2,2,2,Down
1700025M24Rik,3,51,-4.087462841,-4.14479142,2.44E-13,2.27E-12,2.26E-12,TRUE,2,2,2,50,2,2,Down
1700025O08Rik,7,51,-2.86507042,-2.922398999,3.36E-10,2.80E-09,2.80E-09,TRUE,6,50,2,2,2,2,Down
1700026J12Rik,3,164,-5.772589504,-5.829918083,0,0,0,TRUE,2,163,2,2,2,2,Down
1700027J07Rik,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
1700028P14Rik,3,20,-2.736965594,-2.794294173,0.000122253,0.000751352,0.00074836,TRUE,2,19,2,2,2,2,Down
1700056N10Rik,3,49,-4.029747343,-4.087075922,9.25E-13,8.43E-12,8.41E-12,TRUE,2,48,2,2,2,2,Down
1700061E18Rik,3,37,-3.624490865,-3.681819444,2.54E-09,2.05E-08,2.05E-08,TRUE,2,36,2,2,2,2,Down
1700069L16Rik,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,23,2,2,2,2,Down
1700074P13Rik,8,33,-2.044394119,-2.101722698,3.07E-05,0.000197406,0.000197406,TRUE,2,2,7,2,2,32,Down
1700082M22Rik,12,70,-2.544320516,-2.601649095,4.87E-12,4.34E-11,4.34E-11,TRUE,11,69,2,2,2,2,Down
1700084J12Rik,416,7589,-4.189254361,-4.24658294,0,0,0,TRUE,415,167,2,2,2,7423,Down
1700093K21Rik,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
1700097N02Rik,3,30,-3.321928095,-3.379256674,2.34E-07,1.72E-06,1.72E-06,TRUE,2,29,2,2,2,2,Down
1700109G14Rik,3,22,-2.874469118,-2.931797697,3.59E-05,0.000229681,0.000228878,TRUE,2,21,2,2,2,2,Down
1700112D23Rik,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
1700112J16Rik,3,40,-3.736965594,-3.794294173,3.57E-10,2.97E-09,2.96E-09,TRUE,2,39,2,2,2,2,Down
1700122E12Rik,36,173,-2.264703226,-2.322031805,0,0,0,TRUE,35,7,2,167,2,2,Down
1700123L14Rik,3,24,-3,-3.057328579,1.04E-05,6.91E-05,6.88E-05,TRUE,2,23,2,2,2,2,Down
1700125G22Rik,3,120,-5.321928095,-5.379256674,0,0,0,TRUE,2,119,2,2,2,2,Down
1810013L24Rik,29,615,-4.406461605,-4.463790184,0,0,0,TRUE,2,575,28,41,2,2,Down
1810043G02Rik,3,94,-4.969626351,-5.02695493,0,0,0,TRUE,2,93,2,2,2,2,Down
2010016I18Rik,3,8591,-11.48364786,-11.54097644,0,0,0,TRUE,2,2,2,8590,2,2,Down
2210016F16Rik,3,417,-7.118941073,-7.176269652,0,0,0,TRUE,2,2,2,2,2,416,Down
2210408F21Rik,18,145,-3.009984089,-3.067312668,0,0,0,TRUE,2,144,17,2,2,2,Down
2210408I21Rik,11,141,-3.680119734,-3.737448313,0,0,0,TRUE,10,140,2,2,2,2,Down
