GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
0610009B22Rik,27,3,3.169925001,3.112596422,4.26E-06,2.91E-05,2.90E-05,TRUE,26,2,2,2,2,2,Up
0610009E02Rik,258,7,5.203872333,5.146543754,0,0,0,TRUE,22,6,2,2,237,2,Up
0610009O20Rik,66,3,4.459431619,4.40210304,1.11E-16,1.14E-15,1.13E-15,TRUE,2,2,65,2,2,2,Up
1110046J04Rik,1437,8,7.488844346,7.431515768,0,0,0,TRUE,1436,6,2,3,2,2,Up
1190002N15Rik,26,3,3.115477217,3.058148638,7.71E-06,5.17E-05,5.16E-05,TRUE,2,2,25,2,2,2,Up
12-Sep,26,3,3.115477217,3.058148638,7.71E-06,5.17E-05,5.16E-05,TRUE,2,2,25,2,2,2,Up
1500004A13Rik,485,3,7.336878436,7.279549857,0,0,0,TRUE,484,2,2,2,2,2,Up
1600010M07Rik,152,13,3.547487795,3.490159216,0,0,0,TRUE,2,12,2,2,151,2,Up
1700006P03Rik,53,3,4.142957954,4.085629375,4.84E-13,4.44E-12,4.44E-12,TRUE,2,2,52,2,2,2,Up
1700012A03Rik,153,3,5.672425342,5.615096763,0,0,0,TRUE,2,2,2,2,152,2,Up
1700012I11Rik,1063,85,3.644534945,3.587206366,0,0,0,TRUE,377,21,684,65,5,2,Up
1700017N19Rik,24,3,3,2.942671421,2.49E-05,0.000161179,0.000160918,TRUE,7,2,2,2,18,2,Up
1700019M22Rik,30,3,3.321928095,3.264599516,7.12E-07,5.11E-06,5.10E-06,TRUE,2,2,2,2,29,2,Up
1700026D11Rik,35,3,3.544320516,3.486991937,3.46E-08,2.65E-07,2.64E-07,TRUE,2,2,34,2,2,2,Up
1700028E10Rik,30,3,3.321928095,3.264599516,7.12E-07,5.11E-06,5.10E-06,TRUE,2,2,2,2,29,2,Up
1700029N11Rik,94,11,3.095157233,3.037828654,0,0,0,TRUE,2,10,93,2,2,2,Up
1700037C18Rik,2063,356,2.534794675,2.477466096,0,0,0,TRUE,600,355,2,2,1464,2,Up
1700047I17Rik2,118,3,5.297680549,5.24035197,0,0,0,TRUE,37,2,82,2,2,2,Up
1700049E17Rik1,23,3,2.938599455,2.881270876,4.47E-05,0.000283504,0.000282903,TRUE,2,2,14,2,10,2,Up
1700084D21Rik,1001,16,5.967226259,5.90989768,0,0,0,TRUE,2,15,1000,2,2,2,Up
1700110I01Rik,82,3,4.772589504,4.715260925,0,0,0,TRUE,2,2,2,2,81,2,Up
1700110I07Rik,30,3,3.321928095,3.264599516,7.12E-07,5.11E-06,5.10E-06,TRUE,29,2,2,2,2,2,Up
1700120C14Rik,67,3,4.48112669,4.423798111,1.11E-16,1.14E-15,1.13E-15,TRUE,2,2,2,2,66,2,Up
1700129C05Rik,37,3,3.624490865,3.567162286,1.02E-08,7.99E-08,7.98E-08,TRUE,2,2,36,2,2,2,Up
1810006J02Rik,27,3,3.169925001,3.112596422,4.26E-06,2.91E-05,2.90E-05,TRUE,18,2,2,2,10,2,Up
1810009A15Rik,32,3,3.415037499,3.35770892,2.14E-07,1.58E-06,1.58E-06,TRUE,2,2,2,2,31,2,Up
1810026B05Rik,2153,35,5.942849587,5.885521008,0,0,0,TRUE,51,34,2,2,2103,2,Up
1810037I17Rik,236,3,6.297680549,6.24035197,0,0,0,TRUE,2,2,235,2,2,2,Up
1810046K07Rik,730,3,7.926790153,7.869461574,0,0,0,TRUE,2,2,2,2,729,2,Up
1810053B23Rik,99,9,3.459431619,3.40210304,0,0,0,TRUE,2,8,2,2,98,2,Up
1810059C17Rik,65,3,4.437405312,4.380076733,2.22E-16,2.26E-15,2.26E-15,TRUE,2,2,64,2,2,2,Up
2010010A06Rik,60,9,2.736965594,2.679637015,2.27E-10,1.90E-09,1.90E-09,TRUE,2,8,2,2,59,2,Up
2210418O10Rik,80,5,4,3.942671421,0,0,0,TRUE,7,4,2,2,74,2,Up
2410012E07Rik,629,34,4.209453366,4.152124787,0,0,0,TRUE,2,33,628,2,2,2,Up
2410021H03Rik,951,127,2.904616844,2.847288265,0,0,0,TRUE,2,126,2,2,950,2,Up
2610012C04Rik,1281,43,4.896790006,4.839461427,0,0,0,TRUE,2,42,1280,2,2,2,Up
2610037D02Rik,23,3,2.938599455,2.881270876,4.47E-05,0.000283504,0.000282903,TRUE,2,2,2,2,22,2,Up
2700016F22Rik,1990,350,2.507341604,2.450013025,0,0,0,TRUE,1989,321,2,2,2,30,Up
2810039B14Rik,29,3,3.273018494,3.215689915,1.30E-06,9.15E-06,9.13E-06,TRUE,2,2,28,2,2,2,Up
2810403A07Rik,302,12,4.653442239,4.59611366,0,0,0,TRUE,2,6,2,7,301,2,Up
2810433D01Rik,77,3,4.68182404,4.624495461,0,0,0,TRUE,59,2,19,2,2,2,Up
2810454H06Rik,909,3,8.243173983,8.185845405,0,0,0,TRUE,908,2,2,2,2,2,Up
2810468N07Rik,124,3,5.36923381,5.311905231,0,0,0,TRUE,2,2,123,2,2,2,Up
2900009J06Rik,63,3,4.392317423,4.334988844,8.88E-16,8.90E-15,8.89E-15,TRUE,2,2,62,2,2,2,Up
3-Sep,855,98,3.125070766,3.067742187,0,0,0,TRUE,2,97,818,2,38,2,Up
3110040N11Rik,34,3,3.502500341,3.445171762,6.36E-08,4.83E-07,4.83E-07,TRUE,2,2,2,2,33,2,Up
3110062M04Rik,228,16,3.832890014,3.775561435,0,0,0,TRUE,2,15,227,2,2,2,Up
3110080O07Rik,274,37,2.888578717,2.831250138,0,0,0,TRUE,2,36,273,2,2,2,Up
3830408C21Rik,91,3,4.922832139,4.865503561,0,0,0,TRUE,2,2,90,2,2,2,Up
4632427E13Rik,346,43,3.008363473,2.951034894,0,0,0,TRUE,2,42,345,2,2,2,Up
4732465J04Rik,76,3,4.662965013,4.605636434,0,0,0,TRUE,2,2,75,2,2,2,Up
4833421G17Rik,264,22,3.584962501,3.527633922,0,0,0,TRUE,103,21,2,2,162,2,Up
4921501I09Rik,107,3,5.156504486,5.099175907,0,0,0,TRUE,2,2,106,2,2,2,Up
4921527H02Rik.1,48,3,4,3.942671421,1.12E-11,9.82E-11,9.81E-11,TRUE,2,2,2,2,47,2,Up
4930405G09Rik,37,3,3.624490865,3.567162286,1.02E-08,7.99E-08,7.98E-08,TRUE,2,2,2,2,36,2,Up
4930435F18Rik,56,3,4.222392421,4.165063842,7.28E-14,6.88E-13,6.87E-13,TRUE,48,2,2,2,9,2,Up
4930453C13Rik,38,3,3.662965013,3.605636434,5.51E-09,4.39E-08,4.38E-08,TRUE,2,2,37,2,2,2,Up
4930458D05Rik,21,3,2.807354922,2.750026343,0.000141633,0.000863162,0.000861113,TRUE,20,2,2,2,2,2,Up
4930458K08Rik,422,3,7.136136688,7.078808109,0,0,0,TRUE,6,2,2,2,417,2,Up
4930467D21Rik,119,3,5.309855263,5.252526684,0,0,0,TRUE,2,2,118,2,2,2,Up
4930474N05Rik,308,3,6.68182404,6.624495461,0,0,0,TRUE,11,2,58,2,242,2,Up
4930480K15Rik,36,7,2.362570079,2.3052415,6.73E-06,4.52E-05,4.52E-05,TRUE,2,6,35,2,2,2,Up
4930480K23Rik,80,3,4.736965594,4.679637015,0,0,0,TRUE,79,2,2,2,2,2,Up
4930502E09Rik,258,3,6.426264755,6.368936176,0,0,0,TRUE,2,2,257,2,2,2,Up
4930510E17Rik,239,3,6.315904307,6.258575728,0,0,0,TRUE,2,2,238,2,2,2,Up
4930516K23Rik,23,3,2.938599455,2.881270876,4.47E-05,0.000283504,0.000282903,TRUE,2,2,22,2,2,2,Up
4930518I15Rik,3288,70,5.553711567,5.496382988,0,0,0,TRUE,1303,69,2,2,1986,2,Up
4930523C07Rik,83,3,4.790076931,4.732748352,0,0,0,TRUE,2,2,82,2,2,2,Up
4930528J11Rik,493,3,7.360481336,7.303152757,0,0,0,TRUE,2,2,492,2,2,2,Up
4930548G14Rik,1284,3,8.741466986,8.684138407,0,0,0,TRUE,10,2,2,2,1275,2,Up
4930549C15Rik,40,3,3.736965594,3.679637015,1.61E-09,1.31E-08,1.31E-08,TRUE,2,2,39,2,2,2,Up
4930563E22Rik,238,3,6.309855263,6.252526684,0,0,0,TRUE,2,2,237,2,2,2,Up
4930563M21Rik,149,12,3.63420602,3.576877441,0,0,0,TRUE,2,11,148,2,2,2,Up
4930570G19Rik,148,36,2.039528364,1.982199785,1.11E-16,1.14E-15,1.13E-15,TRUE,147,35,2,2,2,2,Up
