GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
A230020J21Rik,130,743,-2.514850588,-2.551600242,0,0,0,TRUE,106,1,23,1,1,741,Down,NA
A330076H08Rik,65,347,-2.41642404,-2.453173694,0,0,0,TRUE,47,1,17,1,1,345,Down,NA
A430050A11Rik,10,163,-4.026800059,-4.063549714,0,0,0,TRUE,4,1,5,161,1,1,Down,NA
A430110L20Rik,16,180,-3.491853096,-3.528602751,0,0,0,TRUE,14,178,1,1,1,1,Down,NA
A530017D24Rik,9,315,-5.129283017,-5.166032672,0,0,0,TRUE,7,1,1,313,1,1,Down,NA
A630009H07Rik,39,174,-2.157541277,-2.194290932,0,0,0,TRUE,15,1,23,1,1,172,Down,NA
A930005G22Rik,57,500,-3.13289427,-3.169643925,0,0,0,TRUE,37,1,19,2,1,497,Down,NA
A930029G22Rik,3,35,-3.544320516,-3.581070171,1.19E-08,6.37E-08,6.36E-08,TRUE,1,33,1,1,1,1,Down,NA
Aadat,8,99,-3.62935662,-3.666106275,0,0,0,TRUE,4,1,3,1,1,97,Down,NA
Abcb4,33,141,-2.095157233,-2.131906888,0,0,0,TRUE,12,1,20,139,1,1,Down,NA
Ablim1,29,310,-3.41814341,-3.454893065,0,0,0,TRUE,7,29,17,134,5,147,Down,NA
AC087902.3,3,35,-3.544320516,-3.581070171,1.19E-08,6.37E-08,6.36E-08,TRUE,1,1,1,33,1,1,Down,NA
AC100400.1,3,71,-4.564784619,-4.601534274,0,0,0,TRUE,1,1,1,1,1,69,Down,NA
AC101945.3,18,128,-2.830074999,-2.866824653,0,0,0,TRUE,4,126,11,1,3,1,Down,NA
AC101945.4,7,99,-3.822001698,-3.858751353,0,0,0,TRUE,5,23,1,75,1,1,Down,NA
AC102291.2,12,68,-2.502500341,-2.539249995,2.29E-11,1.39E-10,1.39E-10,TRUE,6,1,5,66,1,1,Down,NA
AC112943.1,14,76,-2.440572591,-2.477322246,3.20E-12,2.01E-11,2.01E-11,TRUE,4,74,9,1,1,1,Down,NA
AC116390.1,3,65,-4.437405312,-4.474154967,0,0,0,TRUE,1,50,1,14,1,1,Down,NA
AC118710.4,3,20,-2.736965594,-2.773715249,0.000139434,0.000574514,0.000574184,TRUE,1,1,1,18,1,1,Down,NA
AC122878.1,9,43,-2.256339753,-2.293089408,5.60E-07,2.75E-06,2.75E-06,TRUE,1,1,7,41,1,1,Down,NA
AC122901.1,69,1331,-4.269770399,-4.306520054,0,0,0,TRUE,30,1,11,1329,28,1,Down,NA
AC123665.1,7,119,-4.087462841,-4.124212496,0,0,0,TRUE,3,1,3,1,1,117,Down,NA
AC125328.1,15,203,-3.758445322,-3.795194976,0,0,0,TRUE,1,1,13,1,1,201,Down,NA
AC131586.1,180,1502,-3.060816001,-3.097565656,0,0,0,TRUE,89,1500,90,1,1,1,Down,NA
AC136376.1,3,35,-3.544320516,-3.581070171,1.19E-08,6.37E-08,6.36E-08,TRUE,1,33,1,1,1,1,Down,NA
AC138765.2,134,3793,-4.823034466,-4.859784121,0,0,0,TRUE,117,2130,16,1662,1,1,Down,NA
AC140304.1,9,76,-3.078002512,-3.114752167,3.22E-15,2.23E-14,2.23E-14,TRUE,1,1,7,1,1,74,Down,NA
AC141884.1,4,99,-4.62935662,-4.666106275,0,0,0,TRUE,2,1,1,41,1,57,Down,NA
AC151836.1,38,1531,-5.332331054,-5.369080709,0,0,0,TRUE,36,1,1,1524,1,6,Down,NA
AC154766.1,11,160,-3.862496476,-3.899246131,0,0,0,TRUE,4,1,6,47,1,112,Down,NA
AC157944.1,3,51,-4.087462841,-4.124212496,3.48E-13,2.24E-12,2.24E-12,TRUE,1,1,1,1,1,49,Down,NA
AC161537.1,3,25,-3.058893689,-3.095643344,6.57E-06,2.99E-05,2.99E-05,TRUE,1,1,1,23,1,1,Down,NA
AC162938.1,7,28,-2,-2.036749655,0.000179655,0.000738566,0.000738566,TRUE,4,1,2,26,1,1,Down,NA
AC163018.1,3,117,-5.285402219,-5.322151874,0,0,0,TRUE,1,115,1,1,1,1,Down,NA
AC164315.1,10,41,-2.03562391,-2.072373565,4.55E-06,2.10E-05,2.10E-05,TRUE,8,1,1,1,1,39,Down,NA
AC166574.2,150,3770,-4.651530118,-4.688279772,0,0,0,TRUE,63,1,86,1,1,3768,Down,NA
AC166902.2,7,33,-2.237039197,-2.273788852,1.29E-05,5.76E-05,5.76E-05,TRUE,1,1,5,31,1,1,Down,NA
AC170810.1,3,52,-4.115477217,-4.152226872,1.79E-13,1.17E-12,1.17E-12,TRUE,1,50,1,1,1,1,Down,NA
Acad12,40,219,-2.452858965,-2.48960862,0,0,0,TRUE,14,1,25,15,1,203,Down,NA
Acot3,23,1021,-5.472205195,-5.50895485,0,0,0,TRUE,7,1019,11,1,5,1,Down,NA
Acox3,334,2085,-2.642127376,-2.678877031,0,0,0,TRUE,213,1,120,27,1,2057,Down,NA
Actl6b,28,154,-2.459431619,-2.496181273,0,0,0,TRUE,16,152,11,1,1,1,Down,NA
Adam20,3,63,-4.392317423,-4.429067078,1.11E-16,8.04E-16,7.98E-16,TRUE,1,1,1,61,1,1,Down,NA
Adamdec1,29,116,-2,-2.036749655,2.44E-14,1.65E-13,1.65E-13,TRUE,8,1,9,46,12,69,Down,NA
Adamts1,11,100,-3.184424571,-3.221174226,0,0,0,TRUE,5,98,5,1,1,1,Down,NA
Adamts19,251,3349,-3.737971107,-3.774720762,0,0,0,TRUE,120,1,130,1,1,3347,Down,NA
Adgrb3,702,10699,-3.929861118,-3.966610773,0,0,0,TRUE,681,1,20,1,1,10697,Down,NA
