GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
A030001D20Rik,29,167,-2.525723297,-2.404833128,0,0,0,TRUE,13,15,1,53,1,113,Down,NA,0
A130071D04Rik,99,1086,-3.455451768,-3.334561598,0,0,0,TRUE,21,77,1,1084,1,1,Down,NA,0
A230056P14Rik,3,661,-7.783543961,-7.662653791,0,0,0,TRUE,1,1,1,659,1,1,Down,NA,0
A330074H02Rik,1847,8361,-2.178491637,-2.057601467,0,0,0,TRUE,547,1299,1,61,8108,192,Down,NA,0
A430093F15Rik,18,137,-2.928107082,-2.807216912,0,0,0,TRUE,11,6,1,135,1,1,Down,NA,0
A430103D13Rik,3,23,-2.938599455,-2.817709286,6.98E-05,0.000297323,0.000297111,TRUE,1,1,1,1,1,21,Down,NA,0.000309119
A730017L22Rik,3,24,-3,-2.87910983,3.98E-05,0.000173471,0.000173387,TRUE,1,1,1,22,1,1,Down,NA,0.00018028
A730046J19Rik,192,6573,-5.097373769,-4.976483599,0,0,0,TRUE,38,153,1,287,6126,160,Down,NA,0
A730071L15Rik,5,53,-3.40599236,-3.28510219,7.37E-11,4.47E-10,4.47E-10,TRUE,3,1,1,1,1,51,Down,NA,4.61E-10
A730090N16Rik,10,61,-2.608809243,-2.487919073,1.48E-09,8.42E-09,8.42E-09,TRUE,1,8,1,1,59,1,Down,NA,8.70E-09
A830008E24Rik,445,4410,-3.308901415,-3.188011245,0,0,0,TRUE,308,136,1,33,4376,1,Down,NA,0
A830082N09Rik,378,1939,-2.358854664,-2.237964494,0,0,0,TRUE,269,108,1,12,1926,1,Down,NA,0
A930006L05Rik,3,96,-5,-4.87910983,0,0,0,TRUE,1,1,1,1,94,1,Down,NA,0
A930017M01Rik,187,1280,-2.775033635,-2.654143465,0,0,0,TRUE,99,87,1,1,1,1278,Down,NA,0
A930028N01Rik,30,175,-2.544320516,-2.423430347,0,0,0,TRUE,4,25,1,35,1,139,Down,NA,0
AA465934,15,114,-2.925999419,-2.805109249,0,0,0,TRUE,13,1,1,1,112,1,Down,NA,0
Abca5,26,375,-3.850307067,-3.729416898,0,0,0,TRUE,18,7,1,17,344,14,Down,NA,0
Abca8b,3,348,-6.857980995,-6.737090825,0,0,0,TRUE,1,1,1,1,1,346,Down,NA,0
Abcc4,36,259,-2.846883286,-2.725993117,0,0,0,TRUE,22,13,1,4,47,208,Down,NA,0
Abcc5,158,4886,-4.9506574,-4.82976723,0,0,0,TRUE,110,47,1,2504,2341,41,Down,NA,0
Abcd1,3,978,-8.348728154,-8.227837985,0,0,0,TRUE,1,1,1,1,976,1,Down,NA,0
Abce1,69,14590,-7.724167806,-7.603277636,0,0,0,TRUE,33,27,9,1,1,14588,Down,NA,0
Abhd15,327,3881,-3.569065892,-3.448175723,0,0,0,TRUE,222,104,1,1,3879,1,Down,NA,0
Ablim1,29,4975,-7.422499815,-7.301609645,0,0,0,TRUE,7,17,5,2808,84,2083,Down,NA,0
AC113177.1,3,152,-5.662965013,-5.542074843,0,0,0,TRUE,1,1,1,1,1,150,Down,NA,0
AC115735.3,3,22,-2.874469118,-2.753578948,0.000121912,0.000507425,0.000507189,TRUE,1,1,1,1,20,1,Down,NA,0.000528068
AC122251.2,3,189,-5.977279923,-5.856389754,0,0,0,TRUE,1,1,1,5,183,1,Down,NA,0
AC123724.2,9,57,-2.662965013,-2.542074843,3.28E-09,1.83E-08,1.83E-08,TRUE,7,1,1,55,1,1,Down,NA,1.89E-08
AC127697.1,54,271,-2.327261539,-2.206371369,0,0,0,TRUE,32,21,1,1,269,1,Down,NA,0
AC132863.4,6,33,-2.459431619,-2.338541449,1.81E-05,8.03E-05,8.03E-05,TRUE,2,3,1,5,18,10,Down,NA,8.33E-05
AC137950.3,24,157,-2.709658248,-2.588768078,0,0,0,TRUE,16,7,1,1,155,1,Down,NA,0
AC139350.4,3,27,-3.169925001,-3.049034832,7.25E-06,3.31E-05,3.31E-05,TRUE,1,1,1,1,25,1,Down,NA,3.43E-05
AC144798.1,3,23,-2.938599455,-2.817709286,6.98E-05,0.000297323,0.000297111,TRUE,1,1,1,1,1,21,Down,NA,0.000309119
AC147041.2,6,77,-3.68182404,-3.56093387,4.44E-16,3.23E-15,3.23E-15,TRUE,1,4,1,75,1,1,Down,NA,3.32E-15
AC149588.1,56,366,-2.708344916,-2.587454747,0,0,0,TRUE,47,8,1,364,1,1,Down,NA,0
AC155255.1,3,22,-2.874469118,-2.753578948,0.000121912,0.000507425,0.000507189,TRUE,1,1,1,1,1,20,Down,NA,0.000528068
AC156018.2,3,61,-4.345774837,-4.224884667,1.08E-14,7.49E-14,7.48E-14,TRUE,1,1,1,1,1,59,Down,NA,7.70E-14
AC157566.2,634,3080,-2.280375605,-2.159485436,0,0,0,TRUE,206,55,373,15,3064,1,Down,NA,0
AC165154.2,210,1311,-2.642206453,-2.521316283,0,0,0,TRUE,206,3,1,1,1,1309,Down,NA,0
AC166344.3,71,487,-2.778030843,-2.657140673,0,0,0,TRUE,47,23,1,7,221,259,Down,NA,0
Acaca,48,596,-3.63420602,-3.51331585,0,0,0,TRUE,32,15,1,5,577,14,Down,NA,0
Acbd3,6,115,-4.26052755,-4.139637381,0,0,0,TRUE,1,4,1,1,1,113,Down,NA,0
Acsm5,22,244,-3.471305719,-3.350415549,0,0,0,TRUE,10,11,1,6,143,95,Down,NA,0
Actr2,6310,38408,-2.605694931,-2.484804761,0,0,0,TRUE,2945,1832,1533,10057,26373,1978,Down,NA,0
Acyp1,3,73,-4.604862058,-4.483971888,0,0,0,TRUE,1,1,1,1,1,71,Down,NA,0
Adal,71,341,-2.26388081,-2.14299064,0,0,0,TRUE,54,16,1,331,1,9,Down,NA,0
Adam22,1446,11303,-2.966566281,-2.845676111,0,0,0,TRUE,5,1236,205,8390,2912,1,Down,NA,0
Adam9,574,4081,-2.829800069,-2.708909899,0,0,0,TRUE,153,420,1,1,4079,1,Down,NA,0
Adarb1,1157,5343,-2.207261153,-2.086370983,0,0,0,TRUE,509,643,5,1,9,5333,Down,NA,0
Adcy2,16,382,-4.577428828,-4.456538658,0,0,0,TRUE,1,14,1,7,1,374,Down,NA,0
Adgrf5,194,2993,-3.947463721,-3.826573552,0,0,0,TRUE,35,25,134,2991,1,1,Down,NA,0
Adh5,40,239,-2.578938713,-2.458048543,0,0,0,TRUE,8,31,1,1,104,134,Down,NA,0
Adipor1,541,9736,-4.169628669,-4.048738499,0,0,0,TRUE,204,336,1,1,9734,1,Down,NA,0
Afap1,1076,6597,-2.616132027,-2.495241857,0,0,0,TRUE,707,362,7,2662,3934,1,Down,NA,0
Afg3l1,14,132,-3.237039197,-3.116149028,0,0,0,TRUE,9,4,1,1,81,50,Down,NA,0
Agfg1,31,136,-2.133266531,-2.012376361,2.33E-15,1.66E-14,1.66E-14,TRUE,19,6,6,1,49,86,Down,NA,1.71E-14
