id,name,Test-1+G,Test-1-G,Test-2+G,Test-2-G,Test-3+G,Test-3-G,control-1+G,control-1-G,control-2+G,control-2-G,control-3+G,control-3-G
ENSMUSG00000000001,Gnai3,47,0,13,0,0,0,16,18,0,0,0,0
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,14,0,0,2,0,19,0,5,0,0,6,0
ENSMUSG00000000031,H19,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000037,Scml2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0,0,0,0,21,0
ENSMUSG00000000056,Narf,19,0,0,0,43,0,0,0,0,0,0,0
ENSMUSG00000000058,Cav2,133,0,45,0,0,1677,61,371,0,110,908,0
ENSMUSG00000000078,Klf6,187,0,129,0,202,0,0,143,80,0,0,0
ENSMUSG00000000085,Scmh1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000088,Cox5a,316,0,93,0,23,8,0,395,0,2446,0,0
ENSMUSG00000000093,Tbx2,0,0,16,0,0,0,0,0,18,0,0,0
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,4,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000000120,Ngfr,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000125,Wnt3,35,0,12,0,0,0,0,16,0,0,0,0
ENSMUSG00000000126,Wnt9a,0,0,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000000127,Fer,6,0,0,0,0,0,0,34,0,6,0,0
ENSMUSG00000000131,Xpo6,412,0,637,214,403,0,74,118,0,0,0,0
ENSMUSG00000000134,Tfe3,12,0,0,0,0,0,0,11,0,0,0,0
ENSMUSG00000000142,Axin2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000148,Brat1,78,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000149,Gna12,5,0,18,27,0,0,0,4,0,0,0,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,68,0,0,0,0,0,0,24,0,0,0,361
ENSMUSG00000000168,Dlat,16,0,14,0,0,0,0,39,0,0,0,0
ENSMUSG00000000171,Sdhd,0,0,0,0,0,0,0,7,35,0,0,0
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,300,3,290,20,23,20,1720,302,3387,0,0,36
ENSMUSG00000000194,Gpr107,52,12,79,255,0,0,2,38,2020,83,0,0
ENSMUSG00000000197,Nalcn,275,0,1064,901,15,44,23,1034,433,0,0,0
ENSMUSG00000000202,Btbd17,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000204,Slfn4,0,0,12,151,0,0,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000000223,Drp2,239,0,22,0,0,188,17,0,29,0,0,121
ENSMUSG00000000244,Tspan32,62,0,93,0,0,0,0,0,0,0,0,0
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,0,0,2,0,0,0,0,4,0,0,0,0
ENSMUSG00000000263,Glra1,2,0,37,0,4,0,0,39,0,0,0,20
ENSMUSG00000000266,Mid2,1,0,7,0,0,0,0,8,4,0,0,0
ENSMUSG00000000275,Trim25,4,0,0,0,0,0,0,13,0,0,0,0
ENSMUSG00000000276,Dgke,35,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000278,Scpep1,7,0,4,0,89,0,0,6,0,51,0,0
ENSMUSG00000000282,Mnt,239,0,0,0,0,0,0,0,0,0,0,12
ENSMUSG00000000290,Itgb2,7,0,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000000295,Hddc2,26,0,50,8,6,0,0,6,0,0,82,158
ENSMUSG00000000296,Tpd52l1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,5,0,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000000303,Cdh1,7,0,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000000305,Cdh4,3,0,6,0,0,0,0,3,0,0,0,7
ENSMUSG00000000308,Ckmt1,575,99,268,0,0,0,0,174,8242,5,0,0
ENSMUSG00000000317,Bcl6b,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000320,Alox12,3,0,0,0,0,0,0,5,0,0,0,0
ENSMUSG00000000325,Arvcf,0,0,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000000326,Comt,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000339,Rtca,11,0,53,0,0,0,0,8,0,0,0,0
ENSMUSG00000000340,Dbt,18,0,2,0,0,0,6,32,0,5,26,0
ENSMUSG00000000346,Dazap2,20,0,15,0,0,0,96,0,0,20,0,0
