GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Cav2,1680,181,3.214399631,3.251149285,0,0,0,TRUE
Klf6,3,521,-7.440177062,-7.403427407,0,0,0,TRUE
Cox5a,11,435,-5.305439972,-5.268690317,0,0,0,TRUE
Xpo6,217,1455,-2.745252205,-2.708502551,0,0,0,TRUE
Brat1,3,81,-4.754887502,-4.718137847,0,0,0,TRUE
Pih1d2,3,71,-4.564784619,-4.528034964,0,0,0,TRUE
Ccnd2,46,616,-3.743224585,-3.70647493,0,0,0,TRUE
Slfn4,154,15,3.359895945,3.3966456,0,0,0,TRUE
Tspan32,3,158,-5.718818247,-5.682068593,0,0,0,TRUE
Scpep1,3,103,-5.101538026,-5.064788372,0,0,0,TRUE
Mnt,3,242,-6.333900737,-6.297151082,0,0,0,TRUE
Ckmt1,102,846,-3.052088511,-3.015338856,0,0,0,TRUE
Rtca,3,67,-4.48112669,-4.444377035,0,0,0,TRUE
Trappc10,3,289,-6.589963182,-6.553213527,0,0,0,TRUE
Ccm2,3,94,-4.969626351,-4.932876696,0,0,0,TRUE
Fap,205,10,4.357552005,4.394301659,0,0,0,TRUE
Lck,3,107,-5.156504486,-5.119754831,0,0,0,TRUE
Mkrn2,188,1295,-2.784147531,-2.747397876,0,0,0,TRUE
Raf1,262,2446,-3.222785687,-3.186036032,0,0,0,TRUE
Itga5,3,263,-6.453956489,-6.417206834,0,0,0,TRUE
Gabra2,4014,2186,0.876747216,0.91349687,0,0,0,TRUE
Hnrnpd,140,433,-1.628940198,-1.592190543,0,0,0,TRUE
C1d,3,180,-5.906890596,-5.870140941,0,0,0,TRUE
Gm2a,3,5592,-10.86418614,-10.82743649,0,0,0,TRUE
Krit1,85,2044,-4.587788545,-4.55103889,0,0,0,TRUE
Hk2,77,3,4.68182404,4.718573695,0,0,0,TRUE
Myo18a,3,111,-5.209453366,-5.172703711,0,0,0,TRUE
Abhd15,3,327,-6.768184325,-6.73143467,0,0,0,TRUE
Oprm1,69,212,-1.619395998,-1.582646343,0,0,0,TRUE
Ddx3x,1825,3989,-1.128130659,-1.091381005,0,0,0,TRUE
Usp32,3,1191,-8.632995197,-8.596245542,0,0,0,TRUE
Txnrd3,3,74,-4.624490865,-4.58774121,0,0,0,TRUE
Zfp512b,3,203,-6.080373416,-6.043623762,0,0,0,TRUE
