GeneNames,value1,value2,log2(Fold_change),log2(Fold_change) normalized,p-value,q-value(Benjamini et al. 1995),q-value(Storey et al. 2003),Signature(p-value < 0.001)
Narf,3,65,-4.437405312,-4.558295482,0,0,0,TRUE
Cav2,972,181,2.424966617,2.304076447,0,0,0,TRUE
Klf6,83,521,-2.650100131,-2.770990301,0,0,0,TRUE
Cox5a,3,435,-7.17990909,-7.30079926,0,0,0,TRUE
Xpo6,77,1455,-4.240016897,-4.360907067,0,0,0,TRUE
Brat1,3,81,-4.754887502,-4.875777672,0,0,0,TRUE
Pih1d2,3,71,-4.564784619,-4.685674788,0,0,0,TRUE
Ccnd2,5110,616,3.052321035,2.931430865,0,0,0,TRUE
Gpr107,2025,134,3.917617002,3.796726833,0,0,0,TRUE
Nalcn,459,1357,-1.563854662,-1.684744832,0,0,0,TRUE
Drp2,49,264,-2.429684275,-2.550574445,0,0,0,TRUE
Tspan32,3,158,-5.718818247,-5.839708417,0,0,0,TRUE
Scpep1,3,103,-5.101538026,-5.222428196,0,0,0,TRUE
Mnt,3,242,-6.333900737,-6.454790906,0,0,0,TRUE
Ckmt1,8245,846,3.284789925,3.163899756,0,0,0,TRUE
Rtca,3,67,-4.48112669,-4.602016859,0,0,0,TRUE
Trappc10,3,289,-6.589963182,-6.710853351,0,0,0,TRUE
Ccm2,3,94,-4.969626351,-5.090516521,0,0,0,TRUE
Lck,3,107,-5.156504486,-5.277394655,0,0,0,TRUE
Cttnbp2,89,338,-1.925146005,-2.046036175,0,0,0,TRUE
Mkrn2,56,1295,-4.531381461,-4.65227163,0,0,0,TRUE
Raf1,377,2446,-2.697787975,-2.818678145,0,0,0,TRUE
Itga5,83,263,-1.663879558,-1.784769728,0,0,0,TRUE
Gabra2,6237,2186,1.512558858,1.391668688,0,0,0,TRUE
Adora3,3,92,-4.938599455,-5.059489625,0,0,0,TRUE
Sox9,146,333,-1.189553808,-1.310443978,0,0,0,TRUE
Hnrnpd,7,433,-5.950868293,-6.071758462,0,0,0,TRUE
Gm2a,239,5592,-4.548281837,-4.669172007,0,0,0,TRUE
Krit1,353,2044,-2.533655108,-2.654545277,0,0,0,TRUE
Clcn4,3,309,-6.686500527,-6.807390697,0,0,0,TRUE
Myo18a,3,111,-5.209453366,-5.330343535,0,0,0,TRUE
Abhd15,3881,327,3.569065892,3.448175723,0,0,0,TRUE
Spg7,149,29,2.361187525,2.240297356,0,0,0,TRUE
Oprm1,479,212,1.175961391,1.055071221,0,0,0,TRUE
Tcf7,3,79,-4.718818247,-4.839708417,0,0,0,TRUE
Ddx3x,2738,3989,-0.542904677,-0.663794847,0,0,0,TRUE
Usp32,3507,1191,1.558064017,1.437173848,0,0,0,TRUE
Zfp512b,3,203,-6.080373416,-6.201263586,0,0,0,TRUE
Tpd52l2,7,189,-4.754887502,-4.875777672,0,0,0,TRUE
Gnb1l,3,106,-5.142957954,-5.263848124,0,0,0,TRUE
Gm38393,3,80,-4.736965594,-4.857855764,0,0,0,TRUE
Heatr6,8,104,-3.700439718,-3.821329888,0,0,0,TRUE
Ilf2,780,277,1.493588148,1.372697978,0,0,0,TRUE
Chtop,2285,975,1.228720041,1.107829872,0,0,0,TRUE
Snapin,558,249,1.16411938,1.04322921,0,0,0,TRUE
Kctd10,3,87,-4.857980995,-4.978871165,0,0,0,TRUE
Ift20,77,259,-1.750021747,-1.870911917,0,0,0,TRUE
Araf,13,1878,-7.17454163,-7.295431799,0,0,0,TRUE
Cnnm3,3026,8062,-1.413725796,-1.534615965,0,0,0,TRUE
Pcnt,3,242,-6.333900737,-6.454790906,0,0,0,TRUE
Mxd1,3,262,-6.448460501,-6.569350671,0,0,0,TRUE
Snrnp27,3,106,-5.142957954,-5.263848124,0,0,0,TRUE
Ocrl,549,17,5.013199498,4.892309328,0,0,0,TRUE
Calm1,441,106,2.056714391,1.935824221,0,0,0,TRUE
Slc26a3,3,94,-4.969626351,-5.090516521,0,0,0,TRUE
Sema6b,3,121,-5.333900737,-5.454790906,0,0,0,TRUE
Uhrf1,56,352,-2.652076697,-2.772966866,0,0,0,TRUE
Sp1,23,185,-3.007819504,-3.128709674,0,0,0,TRUE
Efnb2,248,1155,-2.219480826,-2.340370996,0,0,0,TRUE
Fndc5,131,44669,-8.413563336,-8.534453505,0,0,0,TRUE
Fbxo9,14,227,-4.019193565,-4.140083735,0,0,0,TRUE
Hars,3,109,-5.183221824,-5.304111994,0,0,0,TRUE
Zmat2,577,1189,-1.043105491,-1.163995661,0,0,0,TRUE
Smg5,7,76,-3.440572591,-3.561462761,0,0,0,TRUE
Cct3,3,70,-4.544320516,-4.665210686,0,0,0,TRUE
Mef2d,9,161,-4.160991877,-4.281882046,0,0,0,TRUE
Snd1,655,191,1.777922268,1.657032099,0,0,0,TRUE
Kpnb1,6068,1603,1.92044666,1.79955649,0,0,0,TRUE
Cyp51,7,274,-5.290677161,-5.411567331,0,0,0,TRUE
Def8,555,43,3.690079207,3.569189037,0,0,0,TRUE
Pax9,193,606,-1.650716946,-1.771607116,0,0,0,TRUE
Itfg2,3,618,-7.686500527,-7.807390697,0,0,0,TRUE
Tulp3,3,156,-5.700439718,-5.821329888,0,0,0,TRUE
Tubb5,2710,1162,1.221682783,1.100792613,0,0,0,TRUE
Ell2,41,3466,-6.401503935,-6.522394104,0,0,0,TRUE
Akr1b3,3,109,-5.183221824,-5.304111994,0,0,0,TRUE
Hoxc13,3,63,-4.392317423,-4.513207592,0,0,0,TRUE
Gstt3,3,2136,-9.475733431,-9.596623601,0,0,0,TRUE
Marveld3,3,88,-4.874469118,-4.995359288,0,0,0,TRUE
Ubl3,3,266,-6.470319935,-6.591210104,0,0,0,TRUE
Il16,19,3769,-7.632038566,-7.752928736,0,0,0,TRUE
Rin2,29,325,-3.486314913,-3.607205082,0,0,0,TRUE
Folh1,3,94,-4.969626351,-5.090516521,0,0,0,TRUE
Chordc1,1065,1896,-0.832105534,-0.952995703,0,0,0,TRUE
Rtcb,3,1315,-8.775884583,-8.896774753,0,0,0,TRUE
Dsg4,338,73,2.211054877,2.090164708,0,0,0,TRUE
Folr1,433,14,4.950868293,4.829978123,0,0,0,TRUE
Aif1l,3771,2314,0.704558286,0.583668116,0,0,0,TRUE
Ltbp1,5948,940,2.661671985,2.540781816,0,0,0,TRUE
Ugp2,3623,6227,-0.781352473,-0.902242643,0,0,0,TRUE
Trmt1,3,86,-4.841302254,-4.962192424,0,0,0,TRUE
Nfix,968,110,3.137503524,3.016613354,0,0,0,TRUE
Vwf,13,709,-5.769202099,-5.890092269,0,0,0,TRUE
Gria3,6,81,-3.754887502,-3.875777672,0,0,0,TRUE
Sipa1l2,9,81,-3.169925001,-3.290815171,0,0,0,TRUE
Blvra,28,156,-2.478047297,-2.598937467,0,0,0,TRUE
Ssr4,3,249,-6.375039431,-6.495929601,0,0,0,TRUE
Kmt2a,7,295,-5.397216222,-5.518106392,0,0,0,TRUE
Spag5,3,124,-5.36923381,-5.490123979,0,0,0,TRUE
Sdf2,3,202,-6.073248982,-6.194139152,0,0,0,TRUE
Acp2,3,92,-4.938599455,-5.059489625,0,0,0,TRUE
Celf2,251,749,-1.577278355,-1.698168524,0,0,0,TRUE
