GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
A030001D20Rik,29,3,3.273018494,3.23626884,1.07E-06,5.17E-06,5.14E-06,TRUE,13,1,15,1,1,1,Up,NA
A030003K21Rik,22,3,2.874469118,2.837719463,6.93E-05,0.000293487,0.000291672,TRUE,5,1,16,1,1,1,Up,NA
A030005K14Rik,25,3,3.058893689,3.022144034,1.18E-05,5.32E-05,5.28E-05,TRUE,20,1,1,1,4,1,Up,NA
A130010J15Rik,2190,158,3.792934406,3.756184752,0,0,0,TRUE,2145,103,38,48,7,7,Up,NA
A130012E19Rik,579,7,6.370064616,6.333314961,0,0,0,TRUE,385,1,193,5,1,1,Up,NA
A230072E10Rik,67,3,4.48112669,4.444377035,0,0,0,TRUE,65,1,1,1,1,1,Up,NA
A230083N12Rik,20,3,2.736965594,2.700215939,0.000220982,0.000899733,0.000893043,TRUE,11,1,8,1,1,1,Up,NA
A230087F16Rik,43,3,3.841302254,3.804552599,1.89E-10,1.10E-09,1.09E-09,TRUE,13,1,29,1,1,1,Up,NA
A230098N10Rik,37,3,3.624490865,3.58774121,7.97E-09,4.31E-08,4.29E-08,TRUE,9,1,27,1,1,1,Up,NA
A230103L15Rik,3284,15,7.774347816,7.737598161,0,0,0,TRUE,1664,7,1619,7,1,1,Up,NA
A330008L17Rik,515,3,7.423466121,7.386716467,0,0,0,TRUE,493,1,21,1,1,1,Up,NA
A330015K06Rik,563,3,7.552028611,7.515278957,0,0,0,TRUE,487,1,75,1,1,1,Up,NA
A330023F24Rik,177,3,5.882643049,5.845893395,0,0,0,TRUE,33,1,143,1,1,1,Up,NA
A330033J07Rik,34,3,3.502500341,3.465750686,5.08E-08,2.63E-07,2.62E-07,TRUE,32,1,1,1,1,1,Up,NA
A330044P14Rik,21,3,2.807354922,2.770605267,0.000123959,0.000515349,0.000511515,TRUE,1,1,1,1,19,1,Up,NA
A330074H02Rik,1847,93,4.31180934,4.275059685,0,0,0,TRUE,547,1,1299,91,1,1,Up,NA
A330076C08Rik,859,3,8.16155182,8.124802166,0,0,0,TRUE,302,1,375,1,182,1,Up,NA
A330102I10Rik,59,3,4.297680549,4.260930894,7.33E-15,5.02E-14,5.00E-14,TRUE,18,1,40,1,1,1,Up,NA
A430010J10Rik,153,3,5.672425342,5.635675687,0,0,0,TRUE,56,1,96,1,1,1,Up,NA
A430033K04Rik,133,3,5.470319935,5.43357028,0,0,0,TRUE,106,1,20,1,7,1,Up,NA
A430073D23Rik,244,3,6.345774837,6.309025182,0,0,0,TRUE,232,1,11,1,1,1,Up,NA
A430078G23Rik,39,3,3.700439718,3.663690063,2.30E-09,1.28E-08,1.27E-08,TRUE,31,1,7,1,1,1,Up,NA
A430090L17Rik,469,47,3.318855261,3.282105606,0,0,0,TRUE,178,1,290,45,1,1,Up,NA
A530001N23Rik,186,3,5.95419631,5.917446656,0,0,0,TRUE,14,1,171,1,1,1,Up,NA
A530013C23Rik,31,3,3.36923381,3.332484155,3.19E-07,1.58E-06,1.57E-06,TRUE,29,1,1,1,1,1,Up,NA
A530040E14Rik,23,3,2.938599455,2.901849801,3.85E-05,0.000166641,0.000165194,TRUE,18,1,4,1,1,1,Up,NA
A530041M06Rik,2808,3,9.87036472,9.833615065,0,0,0,TRUE,1073,1,767,1,968,1,Up,NA
A530058O07Rik,108,3,5.169925001,5.133175347,0,0,0,TRUE,65,1,42,1,1,1,Up,NA
A530072M11Rik,104,3,5.115477217,5.078727563,0,0,0,TRUE,4,1,1,1,99,1,Up,NA
A530076I17Rik,61,3,4.345774837,4.309025182,2.00E-15,1.39E-14,1.39E-14,TRUE,31,1,29,1,1,1,Up,NA
A530083I20Rik,81,3,4.754887502,4.718137847,0,0,0,TRUE,27,1,1,1,53,1,Up,NA
A630072L19Rik,84,3,4.807354922,4.770605267,0,0,0,TRUE,80,1,3,1,1,1,Up,NA
A630072M18Rik,131,3,5.448460501,5.411710846,0,0,0,TRUE,127,1,3,1,1,1,Up,NA
A730011C13Rik,559,3,7.541741972,7.504992317,0,0,0,TRUE,430,1,128,1,1,1,Up,NA
A730017C20Rik,454,23,4.302986531,4.266236876,0,0,0,TRUE,162,1,291,21,1,1,Up,NA
A730035I17Rik,53,3,4.142957954,4.106208299,3.39E-13,2.19E-12,2.19E-12,TRUE,51,1,1,1,1,1,Up,NA
A730049H05Rik,3093,61,5.664053781,5.627304126,0,0,0,TRUE,341,38,115,22,2637,1,Up,NA
A730060N03Rik,87,3,4.857980995,4.82123134,0,0,0,TRUE,1,1,1,1,85,1,Up,NA
A830012C17Rik,261,3,6.442943496,6.406193841,0,0,0,TRUE,14,1,246,1,1,1,Up,NA
A830018L16Rik,605,90,2.748938236,2.712188581,0,0,0,TRUE,525,1,15,19,65,70,Up,NA
A830036E02Rik,83,3,4.790076931,4.753327276,0,0,0,TRUE,81,1,1,1,1,1,Up,NA
A830082N09Rik,378,49,2.94753258,2.910782925,0,0,0,TRUE,269,1,108,47,1,1,Up,NA
A930002C04Rik,3993,3,10.37829486,10.3415452,0,0,0,TRUE,2597,1,1395,1,1,1,Up,NA
A930005H10Rik,123,17,2.855051664,2.818302009,0,0,0,TRUE,113,1,9,15,1,1,Up,NA
A930007I19Rik,285,3,6.569855608,6.533105954,0,0,0,TRUE,175,1,109,1,1,1,Up,NA
A930012L18Rik,20,3,2.736965594,2.700215939,0.000220982,0.000899733,0.000893043,TRUE,6,1,13,1,1,1,Up,NA
A930024E05Rik,113,3,5.235216462,5.198466807,0,0,0,TRUE,111,1,1,1,1,1,Up,NA
A930024N18Rik,27,3,3.169925001,3.133175347,3.58E-06,1.67E-05,1.65E-05,TRUE,9,1,17,1,1,1,Up,NA
A930027P06Rik,557,23,4.597971561,4.561221906,0,0,0,TRUE,353,1,203,21,1,1,Up,NA
A930028N01Rik,30,3,3.321928095,3.28517844,5.86E-07,2.86E-06,2.85E-06,TRUE,4,1,25,1,1,1,Up,NA
A930030B08Rik,42,3,3.807354922,3.770605267,3.54E-10,2.03E-09,2.02E-09,TRUE,1,1,40,1,1,1,Up,NA
A930031H19Rik,20,3,2.736965594,2.700215939,0.000220982,0.000899733,0.000893043,TRUE,1,1,18,1,1,1,Up,NA
A930032L01Rik,286,3,6.574908836,6.538159181,0,0,0,TRUE,69,1,20,1,197,1,Up,NA
A930037H05Rik,49,3,4.029747343,3.992997689,4.30E-12,2.68E-11,2.67E-11,TRUE,12,1,36,1,1,1,Up,NA
A930038B10Rik,340,12,4.824428435,4.787678781,0,0,0,TRUE,5,1,334,6,1,5,Up,NA
AA413626,21,3,2.807354922,2.770605267,0.000123959,0.000515349,0.000511515,TRUE,17,1,3,1,1,1,Up,NA
AA474408,194,3,6.014950341,5.978200687,0,0,0,TRUE,184,1,9,1,1,1,Up,NA
AA914427,642,3,7.741466986,7.704717332,0,0,0,TRUE,317,1,324,1,1,1,Up,NA
AA986860,1101,15,6.197708158,6.160958503,0,0,0,TRUE,70,1,1030,13,1,1,Up,NA
Aaas,217,3,6.176588732,6.139839077,0,0,0,TRUE,94,1,122,1,1,1,Up,NA
Aaed1,375,3,6.965784285,6.92903463,0,0,0,TRUE,365,1,9,1,1,1,Up,NA
Aak1,1028,58,4.147643554,4.110893899,0,0,0,TRUE,856,26,171,1,1,31,Up,NA
Aamdc,135,3,5.491853096,5.455103442,0,0,0,TRUE,126,1,8,1,1,1,Up,NA
Aamp,26,3,3.115477217,3.078727563,6.51E-06,2.98E-05,2.96E-05,TRUE,24,1,1,1,1,1,Up,NA
Aanat,26,3,3.115477217,3.078727563,6.51E-06,2.98E-05,2.96E-05,TRUE,24,1,1,1,1,1,Up,NA
Aars,2792,19,7.199155713,7.162406058,0,0,0,TRUE,192,17,2599,1,1,1,Up,NA
Aasdh,372,43,3.112894056,3.076144402,0,0,0,TRUE,135,5,233,37,4,1,Up,NA
Aasdhppt,117,3,5.285402219,5.248652564,0,0,0,TRUE,83,1,33,1,1,1,Up,NA
Aass,2289,81,4.820651745,4.78390209,0,0,0,TRUE,769,1,1519,54,1,26,Up,NA
Aatf,54,3,4.169925001,4.133175347,1.79E-13,1.17E-12,1.17E-12,TRUE,5,1,8,1,41,1,Up,NA
AB041806,262,3,6.448460501,6.411710846,0,0,0,TRUE,1,1,260,1,1,1,Up,NA
AB124611,46,3,3.938599455,3.901849801,2.86E-11,1.73E-10,1.72E-10,TRUE,12,1,33,1,1,1,Up,NA
