GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
A030003K21Rik,22,3,2.874469118,2.995359288,2.27E-05,0.000100077,9.95E-05,TRUE,5,16,1,1,1,1,Up,NA,0.000103306
A030005K14Rik,25,3,3.058893689,3.179783859,3.29E-06,1.54E-05,1.53E-05,TRUE,20,1,4,1,1,1,Up,NA,1.59E-05
A130010J15Rik,2190,3,9.511752654,9.632642823,0,0,0,TRUE,2145,38,7,1,1,1,Up,NA,0
A230020J21Rik,130,11,3.562936194,3.683826364,0,0,0,TRUE,106,23,1,9,1,1,Up,NA,0
A230072E10Rik,67,3,4.48112669,4.602016859,0,0,0,TRUE,65,1,1,1,1,1,Up,NA,0
A230087F16Rik,43,3,3.841302254,3.962192424,1.95E-11,1.20E-10,1.20E-10,TRUE,13,29,1,1,1,1,Up,NA,1.24E-10
A230098N10Rik,37,3,3.624490865,3.745381035,1.15E-09,6.54E-09,6.51E-09,TRUE,9,27,1,1,1,1,Up,NA,6.73E-09
A230103L15Rik,3284,3,10.09627591,10.21716608,0,0,0,TRUE,1664,1619,1,1,1,1,Up,NA,0
A2m,32,3,3.415037499,3.535927669,3.28E-08,1.74E-07,1.73E-07,TRUE,18,13,1,1,1,1,Up,NA,1.79E-07
A2ml1,428,7,5.934112064,6.055002234,0,0,0,TRUE,365,62,1,5,1,1,Up,NA,0
A330008L17Rik,515,3,7.423466121,7.544356291,0,0,0,TRUE,493,21,1,1,1,1,Up,NA,0
A330015K06Rik,563,19,4.889063599,5.009953768,0,0,0,TRUE,487,75,1,17,1,1,Up,NA,0
A330033J07Rik,34,3,3.502500341,3.62339051,8.61E-09,4.71E-08,4.69E-08,TRUE,32,1,1,1,1,1,Up,NA,4.84E-08
A330044P14Rik,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,1,1,19,1,1,1,Up,NA,0.000191319
A330076H08Rik,65,3,4.437405312,4.558295482,0,0,0,TRUE,47,17,1,1,1,1,Up,NA,0
A330102I10Rik,59,3,4.297680549,4.418570718,3.33E-16,2.44E-15,2.43E-15,TRUE,18,40,1,1,1,1,Up,NA,2.50E-15
A430010J10Rik,153,23,2.733825887,2.854716056,0,0,0,TRUE,56,96,1,1,1,21,Up,NA,0
A430035B10Rik,421,32,3.717676423,3.838566593,0,0,0,TRUE,340,1,80,30,1,1,Up,NA,0
A430078G23Rik,39,7,2.478047297,2.598937467,1.74E-07,8.88E-07,8.88E-07,TRUE,31,7,1,5,1,1,Up,NA,9.20E-07
A430090L17Rik,469,3,7.288481612,7.409371781,0,0,0,TRUE,178,290,1,1,1,1,Up,NA,0
A430108G06Rik,616,76,3.018859027,3.139749197,0,0,0,TRUE,588,27,1,74,1,1,Up,NA,0
A430110C17Rik,19,3,2.662965013,2.783855182,0.000151596,0.000623237,0.00061727,TRUE,17,1,1,1,1,1,Up,NA,0.000642239
